"UNITID"	"INSTNM"	"LONGITUD"	"LATITUDE"	"ACTCM25"	"ACTCM75"	"ACTEN25"	"ACTEN75"	"ACTMT25"	"ACTMT75"	"ACTNUM"	"SATPCT"	"ACTWR25"	"ACTWR75"	"ADMCON7"	"ADMCON8"	"ADMCON9"	"SATMT25"	"SATMT75"	"SATNUM"	"SATPCT.1"	"SATVR25"	"SATVR75"	"SATWR25"	"SATWR75"	"SCFA2"	"SCFY2"	"SCUGRAD"	"GIS4G0"	"GIS4G1"	"GIS4G10"	"GIS4G11"	"GIS4G12"	"GIS4G2"	"GIS4G20"	"GIS4G21"	"GIS4G22"	"GIS4G30"	"GIS4G31"	"GIS4G32"	"GIS4G40"	"GIS4G41"	"GIS4G42"	"GIS4G50"	"GIS4G51"	"GIS4G52"	"GRN4G0"	"GRN4G1"	"GRN4G10"	"GRN4G11"	"GRN4G12"	"GRN4G2"	"GRN4G20"	"GRN4G21"	"GRN4G22"	"GRN4G30"	"GRN4G31"	"GRN4G32"	"GRN4G40"	"GRN4G41"	"GRN4G42"	"GRN4G50"	"GRN4G51"	"GRN4G52"	"year"
147767	"Northwestern University"	"-87.673653"	"42.058377"	31	34	33	35	30	35	1253	47	8	10	1	1	3	710	800	945	47	690	760	680	770	9048	NA	9048	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	811	788	138	132	101	755	95	112	84	127	138	129	170	141	156	281	265	285	2015
151351	"Indiana University-Bloomington"	"-86.526904"	"39.166383"	24	30	23	31	24	30	5183	71	8	9	1	1	4	540	660	5609	71	520	630	510	620	36419	NA	36419	1883	1745	536	538	518	1833	430	373	369	428	360	392	248	221	237	241	253	317	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2015
153658	"University of Iowa"	"-91.535698"	"41.660695"	23	28	22	29	22	28	4602	10	NA	NA	1	1	3	540	690	546	10	460	630	NA	NA	22354	NA	22354	1017	1039	190	207	236	1178	183	172	178	210	226	211	211	208	230	223	226	323	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2015
163286	"University of Maryland-College Park"	"-76.939494"	"38.985379"	NA	NA	NA	NA	NA	NA	0	84	NA	NA	1	1	4	620	730	3295	84	590	690	NA	NA	27056	NA	27056	909	876	195	194	186	924	150	145	164	223	200	200	175	162	188	166	175	186	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2015
170976	"University of Michigan-Ann Arbor"	"-83.743121"	"42.276061"	29	33	30	34	28	34	5132	28	8	9	1	1	3	660	770	1674	28	630	730	640	730	28395	NA	28395	1421	1423	287	266	288	1332	208	190	177	258	299	256	346	331	272	322	337	339	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2015
171100	"Michigan State University"	"-84.476111"	"42.732120"	23	28	23	29	23	28	6784	13	8	9	1	1	3	530	680	1049	13	450	580	460	580	38786	NA	38786	2462	2465	823	863	832	2386	474	423	443	501	480	459	409	420	381	255	279	271	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2015
174066	"University of Minnesota-Twin Cities"	"-93.235352"	"44.977886"	26	31	25	32	25	31	5323	12	8	9	1	1	3	620	740	717	12	560	700	570	690	34351	NA	34351	1786	1837	370	376	338	1826	327	307	310	434	381	396	427	463	440	228	310	342	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2015
181464	"University of Nebraska-Lincoln"	"-96.702177"	"40.822272"	22	28	21	29	21	28	4331	7	NA	NA	1	1	3	500	660	319	7	500	630	NA	NA	19979	NA	19979	1387	1629	278	356	355	1634	269	329	305	355	408	408	277	300	315	208	236	251	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2015
186380	"Rutgers University-New Brunswick"	"-74.450510"	"40.503796"	NA	NA	NA	NA	NA	NA	0	93	NA	NA	1	1	4	580	700	6501	93	530	640	540	660	36016	NA	36016	2353	2507	869	941	892	2303	506	542	491	502	508	472	266	280	243	210	236	205	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2015
204796	"Ohio State University-Main Campus"	"-83.009001"	"39.998389"	27	31	26	33	27	31	6099	32	8	9	1	1	3	610	720	2280	32	560	670	560	660	44741	NA	44741	2524	2377	475	432	393	2295	381	299	321	570	498	430	510	516	473	588	632	678	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2015
214777	"Pennsylvania State University-Main Campus"	"-77.861644"	"40.800732"	25	29	25	31	25	30	1541	72	8	9	1	1	3	560	670	5516	72	530	630	540	640	40541	NA	40541	1497	1594	300	309	304	1487	293	250	230	370	343	361	301	328	320	233	364	272	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2015
240444	"University of Wisconsin-Madison"	"-89.405356"	"43.073858"	27	31	26	32	26	31	5431	19	8	9	1	1	3	630	750	1172	19	560	660	590	690	30694	NA	30694	1241	1306	200	242	188	1186	215	235	186	322	341	320	326	304	294	178	184	198	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2015
243780	"Purdue University-Main Campus"	"-86.914435"	"40.428206"	25	31	24	32	25	32	3976	73	NA	NA	1	3	3	560	700	5050	73	520	630	510	630	30237	NA	30237	1464	1475	367	341	320	1379	283	275	282	395	386	359	271	307	254	148	166	164	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2015
